lat,long,STORET,pH,Alk,Al,NH3.N,As,Ba,Ca,Chl,COD,COND,Cu,Hard,Fe,Mg,Mn,Ni,NO3NO2,NO2,K,Sr,SO4,TKN,TDS,P,TSS,Zn
38.940182,-84.072128,301900,7.886666667,176.65,100,0.0445,2.2,53,62.66666667,23.9,13.66666667,490.3333333,1,228,160,17.33333333,176.3333333,3.2,0.435,0.017,6,324,32.93333333,0.563333333,288.3333333,0.139833333,4.5,5
38.960315,-84.036123,301899,8.281666667,122.1666667,262,0.091833333,1.966666667,37.33333333,44.66666667,21.21666667,14.83333333,364.8333333,1,152.3333333,337.3333333,10,87.66666667,2.166666667,0.5,0.023833333,6,152.6666667,25.48333333,0.698333333,211.6666667,0.143333333,10.33333333,5
38.963933,-84.017777,301898,7.853333333,116.4333333,136.3333333,0.044333333,2.4,49,52,21.23333333,16.16666667,391.3333333,1,183.3333333,189,13,162.6666667,2.633333333,0.845,0.018666667,8,229,34.95,0.673333333,245.3333333,0.266166667,6.25,5
38.9819,-84.1014,200499,7.88,143.95,100,0.032333333,1.566666667,45.66666667,48.33333333,25.53333333,12.66666667,401.3333333,1,167,163,11.33333333,147.3333333,1.833333333,0.175,0.012166667,3.333333333,178.6666667,17.55,0.381666667,226.3333333,0.084,3.833333333,5
38.983774,-84.118522,301901,7.931666667,186.8333333,100,0.046166667,1.5,55.33333333,66.33333333,57.75,12.16666667,595.5,1,218,92.66666667,12.66666667,305,2.666666667,0.065,0.011833333,4.666666667,385.6666667,22.55,0.515,332.3333333,0.080166667,4.75,5
38.9853,-84.0531,200468,8.251666667,121.9333333,100,0.025,2.266666667,46.33333333,48,29.93333333,246.8333333,394,1,174.6666667,200.3333333,13.33333333,100.3333333,1.866666667,0.441666667,0.013,6.666666667,257.3333333,24.98333333,0.521666667,240,0.132666667,23,5
39.0019,-84.1511,200497,8.106666667,248.6666667,100,0.025,1,47,82,33.51666667,10,687,1,288.3333333,131,20.33333333,31,3.166666667,1.573333333,0.01,3.333333333,206,61.5,0.23,398.6666667,0.3305,2.916666667,5
39.0081,-84.0739,200469,7.826666667,157.85,100,0.033166667,2.633333333,65,52.33333333,18.33333333,16.16666667,397.1666667,1.366666667,188,277.6666667,14,186.3333333,2.533333333,0.185,0.018166667,6,220.3333333,19.08333333,0.533333333,239.6666667,0.094333333,30.33333333,5
39.010618,-84.167403,301902,7.938333333,173.8333333,100,0.025,2.133333333,49.33333333,71.33333333,58.58333333,12.83333333,669.3333333,2.733333333,240,162.6666667,15,42.33333333,3.4,5.473333333,0.020166667,5.333333333,269.6666667,45.96666667,0.505,392.6666667,0.263833333,2.916666667,6.666666667
39.0319,-84.1475,M04S07,7.675,90.41666667,100,0.067166667,1.666666667,29.66666667,30.33333333,14.68333333,12.5,262.3333333,1,107.3333333,159,7.666666667,90.66666667,1,0.576666667,0.022,5,91.33333333,15.36666667,0.67,162.6666667,0.138,2.5,5
39.0333,-84.0819,200471,8.568333333,140.52,100,0.025,2.333333333,40.66666667,53,23.44,12.33333333,397.4,1,184.6666667,208.3333333,12.66666667,88.66666667,2.2,0.153333333,0.01,5,241.6666667,22.7,0.451666667,231.6,0.1755,10,5
39.0378,-84.0428,200473,8.138333333,144.3666667,147,0.0355,2.333333333,44.66666667,49,14.71666667,21.5,371.8333333,1.366666667,166.3333333,264.3333333,10.66666667,103.6666667,2.333333333,0.143333333,0.012,6.333333333,177.6666667,24.2,0.525,217.6666667,0.129166667,9.833333333,8.333333333
39.0431,-84.1919,M04S44,7.991666667,176,172.6666667,0.0355,1,38.66666667,70,40.01666667,10,539.3333333,1,232.3333333,280.6666667,14,139.3333333,2.6,0.185,0.01,3,290.6666667,36.68333333,0.346666667,309,0.093666667,10.66666667,5
39.0503,-84.1197,M04S45,7.856,164.58,100,0.073,1.55,51,51,16.24,12.8,412.4,1,174.5,213.5,11.5,217,1.7,0.078,0.0126,2.5,179.5,20.58,0.412,231.2,0.0458,5.9,5
39.0525,-84.05,M04S08,7.921666667,109.8166667,279.3333333,0.025,3.033333333,39.33333333,34.33333333,23.4,16.33333333,349.8333333,2.066666667,129.6666667,408,10.66666667,47.66666667,1.733333333,1.428333333,0.018833333,7,122.6666667,22,0.576666667,215,0.403,20.16666667,5
39.0564,-84.0464,M04W47,7.441666667,145.3333333,100,0.389166667,1,24.66666667,64.33333333,76.65,18.16666667,787.8333333,11.36666667,221,25,14.66666667,5,2.833333333,13.93333333,0.382333333,12.33333333,180.6666667,67.01666667,1.31,468.3333333,3.048333333,4.583333333,43.33333333
39.0589,-84.0517,M04S09,7.758333333,104.9833333,383.3333333,0.025,3.4,41.66666667,33,18.6,16,311.5,1.733333333,126.6666667,533.3333333,10.66666667,79.33333333,1.766666667,0.55,0.019,6.666666667,121.6666667,17.6,0.546666667,196.3333333,0.22,19.5,5
39.0597,-84.1806,M04S43,7.965,160.8333333,100,0.035666667,1,38.66666667,69,51.15,20,558.3333333,1.333333333,217.6666667,140,11,139.3333333,2.533333333,0.156666667,0.01,3,278.6666667,41.33333333,0.306666667,320.6666667,0.051,27.16666667,5
39.060052,-84.178739,M04S06,8.001666667,92.2,100,0.030333333,1,27.66666667,32.33333333,15.65,11.66666667,283.6666667,1.466666667,115,237,8.333333333,68.33333333,1,0.546666667,0.012333333,5.333333333,98,17.55,0.591666667,167.3333333,0.128333333,6.416666667,5
39.068504,-84.039451,301897,7.896666667,178,100,0.037833333,2.3,69,64.33333333,17.58333333,15.66666667,497,1.4,221,294.6666667,14.66666667,169,2.566666667,0.175,0.016333333,5.666666667,253.3333333,41.18333333,0.428333333,291.6666667,0.136333333,7.333333333,5
39.0781,-84.1794,M04S31,7.978333333,94.46666667,100,0.025,1,28,34,16.05,12,285.1666667,1,119,233.3333333,8.333333333,60.33333333,1,0.486666667,0.013333333,5.666666667,104.6666667,17.75,0.496666667,171.3333333,0.113333333,8.75,5
39.082342,-84.176779,M04W19,7.94,136.8333333,100,0.398666667,1,22.33333333,58,90.18333333,30.16666667,794.3333333,8.633333333,194.3333333,93.66666667,12,43,3.2,13.84166667,0.4755,13.33333333,212.3333333,58.53333333,1.483333333,466.6666667,2.811666667,115.4166667,43.66666667
39.0844,-84.1781,M04S05,7.981666667,98.75,198.6666667,0.025,1,29,34.33333333,17.63333333,37.33333333,295.1666667,1,121.3333333,374,8.666666667,75,1.333333333,0.6,0.013666667,5.333333333,106.3333333,19.36666667,0.515,177.3333333,0.146666667,19.08333333,5
39.0883,-84.2217,M04S38,8.04,173.6,100,0.025,1.466666667,44.33333333,58.33333333,45,10,535,1,200.6666667,143.6666667,13.33333333,98.66666667,2.2,0.082,0.0138,3,199,30.12,0.376,326.4,0.0598,5.7,5
39.0886,-84.1881,M04W21,7.433333333,122.8166667,100,0.082166667,1.366666667,17.66666667,79.33333333,102.5,21.5,1019,14.1,264,56,16,5,6.233333333,32.16666667,0.067333333,14,321,93.35,0.726666667,647.3333333,3.876666667,3.75,73
39.088627,-84.148355,301904,8.25,149.6333333,140,0.029333333,2.966666667,56,79.33333333,89.48333333,14,787.8333333,1.433333333,286,170.3333333,21.33333333,100.6666667,3.2,0.195,0.01,9,650.6666667,95.46666667,0.668333333,461.3333333,0.280333333,3.833333333,5
39.0894,-84.2317,M04S40,8.06,195.4,100,0.0538,1.433333333,51.33333333,65.66666667,65.82,10,662.2,1,238.3333333,191.3333333,18,61,2.3,0.214,0.01,3.333333333,279,42.18,0.486,408,0.0808,3.2,5
39.089559,-84.169017,301903,7.886666667,165.8,100,0.025,1,49,71.66666667,60.25,10,637.3333333,1.366666667,249,99,17,115,2.933333333,0.235,0.01,7.333333333,449.6666667,63.8,0.301666667,375.3333333,0.189166667,6.333333333,5
39.0964,-84.0403,M04S10,7.765,107.7333333,336,0.0375,3.533333333,41.33333333,32.33333333,16.06666667,15.66666667,304.3333333,1.533333333,126,538.6666667,11,92,1.8,0.405,0.019166667,6.333333333,119,17.1,0.58,184,0.221833333,8.916666667,5
39.097322,-84.026187,301896,7.935,147,344.3333333,0.025,1.533333333,44,48.33333333,16.53333333,10,366.1666667,1.366666667,159.3333333,473,9.333333333,102,2.8,0.121666667,0.01,6.333333333,133.3333333,15.73333333,0.506666667,212.6666667,0.1375,7.083333333,5
39.1025,-84.1956,M04S04,7.853333333,101.05,137.6666667,0.025,1.333333333,27.66666667,38,26.13333333,15.5,358.6666667,2.066666667,130.3333333,283.3333333,8.666666667,56.33333333,1.866666667,3.088333333,0.014333333,5.666666667,123,21.68333333,0.64,220,0.416666667,14.83333333,8.333333333
39.103298,-83.995753,301895,7.756,108.6333333,239.3333333,0.077,3.933333333,34.33333333,39.33333333,14.98333333,179.1666667,310,2.133333333,125.6666667,356.3333333,6.666666667,159,2.366666667,0.271666667,0.017333333,9,118.6666667,19.61666667,0.88,194.3333333,0.3675,5.5,5
39.1125,-84.0422,M04S46,7.658333333,132.55,148.3333333,0.062333333,3.133333333,43,43,21.46666667,18.16666667,366,1.5,148.6666667,304.3333333,10,244.6666667,2.333333333,0.285,0.013166667,7,195.3333333,19.4,0.676666667,220,0.339833333,7.333333333,5
39.1136,-84.0203,M04S49,7.585,140,100,0.095333333,4.233333333,35.33333333,48,25.03333333,24,385,1.566666667,151.3333333,374,7.666666667,337,2.233333333,0.221666667,0.020666667,8.333333333,174.3333333,15.36666667,0.8,227.3333333,0.460666667,9.416666667,5
39.1178,-84.2164,M04S37,7.851666667,185.1666667,135.6666667,0.025,1,44,69.33333333,45.15,11.83333333,594.8333333,1,236,212.6666667,15.33333333,39.66666667,2.4,0.095,0.01,3.333333333,334.3333333,55.85,0.193333333,350.3333333,0.026,2.5,5
