STORET,COMID,LATITUDE,LONGITUDE,NAME,BandDarter,BigmBuffal,BlackBuffa,BlackBullh,BlackCrapp,BlackRedho,BlacksDart,BluegSunfi,BluntMinno,BrookSilve,BrownBullh,BullhMinno,CentrStone,ChannCatfi,CommonCarp,CreekChub,EmerShiner,FantaiDart,FatheadMin,FlatheaCat,FreshwDrum,GizzarShad,GoldenRedh,GoldenShin,GrnBluHybr,GreenSFHyb,GreLonHybr,GreenSunfi,GreensDart,HighfCarps,HybridSunf,JohnnyDart,LargemBass,Logperch,LongOrgHyb,LongearSun,LongnosGar,MimicShine,MountMadto,NorHogSuck,OrangesSun,OrangeDart,PumpkiSunf,Quillback,RainboDart,RedearSunf,RiverCarps,RiverRedho,RockBass,RosyfacShi,SandShiner,Sauger,Saugeye,ScarletShi,SilverRedh,SilverShin,SilverjMin,SkipjaHerr,SlendeDart,SmallmBass,SmallmBuff,SmallmBu_1,SoRedbDace,SpotfiShin,SpotteBass,SteelcShin,Stonecat,StreamChub,StripeShin,SuckermMin,TroutPerch,WeBlacDace,WeMosquito,WhiteBass,WhiteCrapp,WhiteSucke,YellowBull
200466,3934970,39.1467,-84.1789,LICK FORK NEAR MOUTH @ CO. RD. 116,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
200468,3936464,38.9853,-84.0531,CLOVERLICK CREEK NE OF BETHEL @ ST. RT. 133,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
200469,3935708,39.0081,-84.0739,BARNES RUN S OF CONCORD @ CONCORD-BETHEL RD.,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200471,3935666,39.0333,-84.0819,KAIN RUN SW OF WILLIAMSBURG @ WILLIAMSBURG-BANTAM RD.,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200473,3935646,39.0378,-84.0428,TODD RUN S OF WILLIAMSBURG @ ST. RT. 133,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
200474,3933018,39.2058,-83.945,SYCAMORE CREEK NW OF FAYETTEVILLE @ GLADY RD.,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
200481,3935208,39.1247,-84.2917,"HALL RUN AT SUMMERSIDE ESTATES, DST. SUMMERSIDE RD.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200492,3934614,39.2564,-84.0125,STONELICK CREEK SW OF BLANCHESTER @ WOODVILLE RD.,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
200497,3935720,39.0019,-84.1511,ULREY RUN W OF BANTAM @ ST. RT. 125/222,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
200499,3936460,38.9819,-84.1014,POPLAR CREEK NW OF BETHEL @ MACEDONIA RD.,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
