Inference for Stan model: Hier_model_TP_new.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                 mean se_mean   sd   2.5%    25%    50%    75%  97.5%
beta0            1.03    0.01 0.31   0.45   0.82   1.03   1.24   1.65
betak[1]         1.25    0.01 0.59   0.13   0.86   1.25   1.63   2.43
betak[2]         1.51    0.01 0.54   0.50   1.13   1.48   1.84   2.66
betak[3]         1.19    0.01 0.63  -0.02   0.77   1.18   1.60   2.46
mu_beta0         0.61    0.02 0.70  -0.97   0.19   0.67   1.07   1.88
sigma_beta0      0.91    0.01 0.63   0.12   0.45   0.77   1.21   2.44
mu_betak         1.29    0.01 0.63   0.02   0.90   1.30   1.70   2.49
sigma_betak      0.73    0.01 0.42   0.17   0.43   0.65   0.94   1.78
f[1]            -0.44    0.01 0.53  -1.50  -0.80  -0.42  -0.08   0.55
f[2]             1.18    0.01 0.33   0.56   0.95   1.18   1.40   1.85
f[3]             0.39    0.01 0.32  -0.24   0.17   0.39   0.60   1.02
f[4]            -0.33    0.01 0.52  -1.39  -0.68  -0.32   0.01   0.66
f[5]             0.94    0.01 0.31   0.33   0.73   0.94   1.15   1.60
f[6]             0.60    0.01 0.44  -0.21   0.31   0.58   0.88   1.47
f[7]            -1.52    0.02 0.76  -3.06  -2.01  -1.50  -0.98  -0.10
f[8]             0.30    0.01 0.48  -0.58  -0.02   0.30   0.62   1.26
f[9]            -0.45    0.01 0.51  -1.46  -0.80  -0.43  -0.10   0.52
f[10]            0.08    0.01 0.42  -0.78  -0.19   0.09   0.37   0.86
f[11]            1.99    0.01 0.53   0.98   1.62   1.97   2.33   3.13
f[12]            1.48    0.01 0.47   0.59   1.16   1.47   1.79   2.47
f[13]            1.55    0.01 0.39   0.82   1.29   1.53   1.80   2.35
f[14]            1.01    0.01 0.51   0.04   0.68   1.00   1.33   2.05
f[15]            0.90    0.01 0.33   0.25   0.67   0.89   1.12   1.59
f[16]            3.29    0.02 0.89   1.67   2.67   3.25   3.85   5.16
f[17]            1.46    0.01 0.44   0.63   1.16   1.44   1.73   2.39
f[18]            1.09    0.01 0.48   0.18   0.77   1.07   1.38   2.08
f[19]            1.10    0.01 0.38   0.37   0.84   1.09   1.34   1.88
f[20]            1.29    0.01 0.38   0.56   1.04   1.28   1.54   2.06
f[21]            0.12    0.01 0.57  -0.95  -0.27   0.10   0.48   1.25
f[22]            0.91    0.01 0.50  -0.02   0.58   0.88   1.21   1.93
f[23]            1.32    0.01 0.49   0.42   1.00   1.30   1.62   2.34
f[24]            1.08    0.01 0.36   0.40   0.83   1.08   1.31   1.82
f[25]            1.50    0.01 0.45   0.68   1.20   1.48   1.78   2.44
f[26]            1.52    0.01 0.41   0.77   1.24   1.50   1.78   2.37
f[27]            0.93    0.01 0.35   0.26   0.70   0.93   1.17   1.67
f[28]            0.94    0.01 0.31   0.32   0.72   0.93   1.14   1.58
