Inference for Stan model: Hier_model_TP_new_updated.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                 mean se_mean   sd   2.5%    25%    50%    75%  97.5%
beta0            1.13    0.01 0.35   0.47   0.89   1.11   1.36   1.85
betak[1]         1.33    0.02 0.77  -0.08   0.81   1.29   1.80   2.97
betak[2]         1.65    0.01 0.60   0.53   1.24   1.63   2.05   2.86
betak[3]         1.83    0.02 0.97   0.12   1.14   1.76   2.45   3.92
mu_beta0         1.07    0.08 2.49  -4.69   0.19   1.09   1.96   6.60
sigma_beta0      2.05    0.06 1.87   0.15   0.69   1.49   2.78   7.04
mu_betak         1.54    0.06 2.05  -2.80   0.63   1.54   2.52   5.57
sigma_betak      2.85    0.06 2.12   0.45   1.35   2.28   3.76   8.67
f[1]            -0.43    0.01 0.54  -1.51  -0.77  -0.41  -0.07   0.61
f[2]             1.30    0.01 0.40   0.56   1.03   1.28   1.56   2.12
f[3]             0.40    0.01 0.33  -0.26   0.18   0.40   0.62   1.04
f[4]            -0.66    0.01 0.63  -1.99  -1.06  -0.63  -0.23   0.51
f[5]             1.07    0.01 0.37   0.39   0.82   1.06   1.32   1.82
f[6]             0.42    0.01 0.54  -0.63   0.05   0.41   0.78   1.47
f[7]            -1.79    0.01 0.77  -3.40  -2.27  -1.76  -1.27  -0.33
f[8]             0.08    0.01 0.61  -1.12  -0.33   0.08   0.48   1.27
f[9]            -0.41    0.01 0.51  -1.46  -0.75  -0.41  -0.06   0.59
f[10]           -0.01    0.01 0.46  -0.93  -0.31   0.01   0.29   0.87
f[11]            1.98    0.01 0.62   0.86   1.55   1.95   2.38   3.29
f[12]            1.34    0.01 0.56   0.32   0.96   1.32   1.71   2.50
f[13]            1.65    0.01 0.44   0.84   1.34   1.63   1.94   2.56
f[14]            1.40    0.02 0.75   0.04   0.87   1.35   1.87   2.96
f[15]            1.02    0.01 0.40   0.29   0.74   1.01   1.30   1.86
f[16]            3.91    0.03 1.19   1.87   3.07   3.83   4.68   6.52
